tabela;label;modalidade;modalidade_sistema;situacao;orgao;orgao_id;data_publicacao;numero;numero_processo;ano;data_homologacao;data_abertura;data_fechamento;data_protocolo;data_julgamento;valor_estimado;valor_homologado;descricao;fundamento;covid;mp;lei_base;registro_preco;lembretes;orcamento_sigiloso;chave;modalidade_id;situacao_id;ocultar_modalidades;total;empenhos
licitacoes;000013/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-05-14;000013;2026000416;2026;;;;;;0.00;0.00;A ESCOLHA DA PROPOSTA MAIS VANTAJOSA PARA FUTURA AQUISIÇÃO DE INSUMOS DE ENFERMAGEM, VOLUME IV, MÁSCARA TRIPLA.;;0;;;0;0;0;41279;13;1;;2129;False
licitacoes;000010/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE PLANEJAMENTO E DESENVOLVIMENTO HUMANO;2500;2026-04-29;000010;2026001813;2026;;2026-05-15 00:00:00;;;;28676892.72;0.00;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE LOCAÇÃO DE VEÍCULOS AUTOMOTORES, DE CARÁTER ADMINISTRATIVO E OPERACIONAL (INCLUINDO VIATURAS ADAPTADAS E CARACTERIZADAS E VEÍCULOS 100% ELÉTRICOS A BATERIA ? BEV,
ACOMPANHADOS DE INFRAESTRUTURA DE RECARGA), DESTINADOS A ATENDER AS DEMANDAS LOGÍSTICAS, OPERACIONAIS E FINALÍSTICAS DOS ÓRGÃOS E ENTIDADES DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL DE PALMAS, MEDIANTE SISTEMA DE REGISTRO DE PREÇOS (SRP).";;0;;;0;0;0;41121;13;1;;2129;False
licitacoes;000009/2026;Concorrência para Compras e Serviços;CONCORRÊNCIA;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-07-02;000009;2026001448;2026;;2026-07-20 00:00:00;;;;0.00;0.00;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DA OBRA DE TERRAPLANAGEM, PAVIMENTAÇÃO E SINALIZAÇÃO VIÁRIA NA AVENIDA LO-19 (ENTRE AS AVENIDAS NS-09 E NS-15) E AVENIDA NS-15 (ENTRE AS AVENIDAS LO-19 E A PRAIA DO PRATA), NO MUNICÍPIO DE PALMAS, CONFORME TERMOS DO INSTRUMENTO E DEMAIS ELEMENTOS INSTRUTORES ANEXOS;;0;;;0;0;0;41548;5;1;;2129;False
licitacoes;000009/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Homologada;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-03-16;000009;2025009434;2026;2026-06-15;;;;;786006.37;258487.81;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO PARA OS SERVIDORES;;0;;;0;0;0;40770;13;5;;2129;False
licitacoes;000008/2026;Concorrência para Compras e Serviços;CONCORRÊNCIA;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-05-29;000008;2026000630;2026;;2026-07-30 00:00:00;;;;0.00;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA IMPLANTAÇÃO DO CORREDOR DE TRANSPORTE PÚBLICO COLETIVO POR ÔNIBUS ? TRECHOS 1 E 2 ? SUBMETA 2 - ESTUDOS AMBIENTAIS, PROJETO EXECUTIVO DAS PONTES DE CONCRETO SOBRE O CÓRREGO MACHADO (SENTIDOS NORTE?SUL E SUL?NORTE), EXECUÇÃO DA OBRA DE INFRAESTRUTURA DO TRECHO DA AVENIDA TRAJANO COELHO NETO (ENTRE A AVENIDA L E A AVENIDA ANTÔNIO SAMPAIO), EXECUÇÃO DE SERVIÇOS DE DRENAGEM, TERRAPLENAGEM, PAVIMENTAÇÃO ASFÁLTICA E EM CONCRETO ARMADO, CALÇADAS, SINALIZAÇÃO VIÁRIA E OBRAS DE ARTE CORRENTE;;0;;;0;0;0;41334;5;1;;2129;False
licitacoes;000008/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-03-11;000008;2025009813;2026;;2026-03-27 00:00:00;;;;3354158.52;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE ROÇADEIRAS TIPO COSTAIS (CORTE COM FIO E COM LÂMINA), MOTOSSERRA, MOTOR PODA, SOPRADOR, PULVERIZADOR E PODADOR DE ARBUSTOS PELO PERÍODO DE 12 (DOZE) MESES, POR MEIO DO SISTEMA DE REGISTRO DE PREÇOS, VISANDO ATENDER ÀS NECESSIDADES OPERACIONAIS DO DEPARTAMENTO TÉCNICO OPERACIONAL DO ÓRGÃO DEMANDANTE, CONFORME CONDIÇÕES, QUANTITATIVOS, ESPECIFICAÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE EDITAL E SEUS ANEXOS.;;0;;;0;0;0;40698;13;1;;2129;False
licitacoes;000007/2026;Concorrência para Obras e Serviços de Engenharia;CONCORRÊNCIA PÚBLICA PARA OBRAS E SERVIÇOS DE ENGENHARIA;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-06-09;000007;462842025;2026;;;;;;0.00;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO E RECUPERAÇÃO DE GUIAS (MEIO-FIO) SEM SARJETA, INCLUINDO FORNECIMENTO DE MATERIAL, MÃO-DE-OBRA, TRANSPORTE DE MATERIAL, EQUIPAMENTO, LIMPEZA E FORNECIMENTO DE MEIO-FIO PRÉ-MOLDADO, NO MUNICÍPIO DE PALMAS ? TO.;;0;;;0;0;0;41432;6;1;;2129;False
licitacoes;000007/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Homologada;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-03-05;000007;2026000374;2026;2026-05-26;;;;;1976726.01;1081987.44;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE FERRAMENTAS E MATERIAIS DE CONSTRUÇÃO, PARA A SECRETARIA MUNICIPAL DE ZELADORIA URBANA;;0;;;0;0;0;40641;13;5;;2129;False
licitacoes;000006/2026;Concorrência para Obras e Serviços de Engenharia;CONCORRÊNCIA PÚBLICA PARA OBRAS E SERVIÇOS DE ENGENHARIA;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-06-01;000006;724682025;2026;;;;;;0.00;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA OBRA DE DRENAGEM PLUVIAL, TERRAPLANAGEM, PAVIMENTAÇÃO, CALÇADAS ACESSÍVEIS E SINALIZAÇÃO VIÁRIA NA AVENIDA NS-A ENTRE AS AVENIDAS LO-25 E LO-27 (QUADRA 1101 SUL - ANTIGA ACSU SO 110) E AVENIDA NS-A ENTRE AS AVENIDAS LO-29 E LO-31 (QUADRA 1301 SUL - ANTIGA ACSU SO 130), NO MUNICÍPIO DE PALMAS.;;0;;;0;0;0;41337;6;1;;2129;False
licitacoes;000005/2026;Concorrência para Obras e Serviços de Engenharia;CONCORRÊNCIA PÚBLICA PARA OBRAS E SERVIÇOS DE ENGENHARIA;Aberta;SECRETARIA MUNICIPAL DA EDUCAÇÃO;2900;2026-05-26;000005;2026002014;2026;;2026-06-19 00:00:00;;;;0.00;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A CONSTRUÇÃO DE CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL ? CMEI, CONFORME TERMOS DESTE INSTRUMENTO E DEMAIS ELEMENTOS INSTRUTORES ANEXOS;;0;;;0;0;0;41270;6;1;;2129;False
